colour	x	y	key	showSelectedlegendcolour	showSelected2	fill
#00BFC4	1	1	initial	initial	-10	#00BFC4
#F8766D	1	1	improved	improved	-10	#F8766D
#00BFC4	1	1	initial	initial	-9.8	#00BFC4
#F8766D	1	1	improved	improved	-9.8	#F8766D
#00BFC4	1	1	initial	initial	-9.6	#00BFC4
#F8766D	1	1	improved	improved	-9.6	#F8766D
#00BFC4	1	1	initial	initial	-9.4	#00BFC4
#F8766D	1	1	improved	improved	-9.4	#F8766D
#00BFC4	1	1	initial	initial	-9.2	#00BFC4
#F8766D	1	1	improved	improved	-9.2	#F8766D
#00BFC4	1	1	initial	initial	-9	#00BFC4
#F8766D	1	1	improved	improved	-9	#F8766D
#00BFC4	1	1	initial	initial	-8.8	#00BFC4
#F8766D	1	1	improved	improved	-8.8	#F8766D
#00BFC4	1	1	initial	initial	-8.6	#00BFC4
#F8766D	1	1	improved	improved	-8.6	#F8766D
#00BFC4	1	1	initial	initial	-8.4	#00BFC4
#F8766D	1	1	improved	improved	-8.4	#F8766D
#00BFC4	1	1	initial	initial	-8.2	#00BFC4
#F8766D	1	1	improved	improved	-8.2	#F8766D
#00BFC4	1	1	initial	initial	-8	#00BFC4
#F8766D	1	1	improved	improved	-8	#F8766D
#00BFC4	1	1	initial	initial	-7.8	#00BFC4
#F8766D	1	1	improved	improved	-7.8	#F8766D
#00BFC4	1	1	initial	initial	-7.6	#00BFC4
#F8766D	1	1	improved	improved	-7.6	#F8766D
#00BFC4	1	1	initial	initial	-7.4	#00BFC4
#F8766D	1	1	improved	improved	-7.4	#F8766D
#00BFC4	1	1	initial	initial	-7.2	#00BFC4
#F8766D	1	1	improved	improved	-7.2	#F8766D
#00BFC4	1	1	initial	initial	-7	#00BFC4
#F8766D	1	1	improved	improved	-7	#F8766D
#00BFC4	1	1	initial	initial	-6.8	#00BFC4
#F8766D	1	1	improved	improved	-6.8	#F8766D
#00BFC4	1	1	initial	initial	-6.6	#00BFC4
#F8766D	1	1	improved	improved	-6.6	#F8766D
#00BFC4	1	1	initial	initial	-6.4	#00BFC4
#F8766D	1	1	improved	improved	-6.4	#F8766D
#00BFC4	1	1	initial	initial	-6.2	#00BFC4
#F8766D	1	1	improved	improved	-6.2	#F8766D
#00BFC4	1	1	initial	initial	-6	#00BFC4
#F8766D	1	1	improved	improved	-6	#F8766D
#00BFC4	1	1	initial	initial	-5.8	#00BFC4
#F8766D	1	1	improved	improved	-5.8	#F8766D
#00BFC4	1	1	initial	initial	-5.6	#00BFC4
#F8766D	1	1	improved	improved	-5.6	#F8766D
#00BFC4	0.988304093567251	1	initial	initial	-5.4	#00BFC4
#F8766D	0.988304093567251	1	improved	improved	-5.4	#F8766D
#00BFC4	0.988304093567251	1	initial	initial	-5.2	#00BFC4
#F8766D	0.988304093567251	1	improved	improved	-5.2	#F8766D
#00BFC4	0.988304093567251	1	initial	initial	-5	#00BFC4
#F8766D	0.988304093567251	1	improved	improved	-5	#F8766D
#00BFC4	0.988304093567251	1	initial	initial	-4.8	#00BFC4
#F8766D	0.988304093567251	1	improved	improved	-4.8	#F8766D
#00BFC4	0.976608187134503	1	initial	initial	-4.6	#00BFC4
#F8766D	0.988304093567251	1	improved	improved	-4.6	#F8766D
#00BFC4	0.976608187134503	1	initial	initial	-4.4	#00BFC4
#F8766D	0.988304093567251	1	improved	improved	-4.4	#F8766D
#00BFC4	0.976608187134503	1	initial	initial	-4.2	#00BFC4
#F8766D	0.988304093567251	1	improved	improved	-4.2	#F8766D
#00BFC4	0.964912280701754	1	initial	initial	-4	#00BFC4
#F8766D	0.964912280701754	1	improved	improved	-4	#F8766D
#00BFC4	0.953216374269006	1	initial	initial	-3.8	#00BFC4
#F8766D	0.953216374269006	1	improved	improved	-3.8	#F8766D
#00BFC4	0.935672514619883	1	initial	initial	-3.6	#00BFC4
#F8766D	0.953216374269006	1	improved	improved	-3.6	#F8766D
#00BFC4	0.842105263157895	0.96875	initial	initial	-3.4	#00BFC4
#F8766D	0.894736842105263	1	improved	improved	-3.4	#F8766D
#00BFC4	0.842105263157895	0.96875	initial	initial	-3.2	#00BFC4
#F8766D	0.871345029239766	1	improved	improved	-3.2	#F8766D
#00BFC4	0.842105263157895	0.96875	initial	initial	-3	#00BFC4
#F8766D	0.865497076023392	1	improved	improved	-3	#F8766D
#00BFC4	0.812865497076023	0.96875	initial	initial	-2.8	#00BFC4
#F8766D	0.842105263157895	0.96875	improved	improved	-2.8	#F8766D
#00BFC4	0.742690058479532	0.96875	initial	initial	-2.6	#00BFC4
#F8766D	0.783625730994152	0.96875	improved	improved	-2.6	#F8766D
#00BFC4	0.701754385964912	0.96875	initial	initial	-2.4	#00BFC4
#F8766D	0.771929824561403	0.96875	improved	improved	-2.4	#F8766D
#00BFC4	0.584795321637427	0.96875	initial	initial	-2.2	#00BFC4
#F8766D	0.64327485380117	0.96875	improved	improved	-2.2	#F8766D
#00BFC4	0.514619883040936	0.96875	initial	initial	-2	#00BFC4
#F8766D	0.573099415204678	0.96875	improved	improved	-2	#F8766D
#00BFC4	0.47953216374269	0.96875	initial	initial	-1.8	#00BFC4
#F8766D	0.497076023391813	0.96875	improved	improved	-1.8	#F8766D
#00BFC4	0.444444444444444	0.96875	initial	initial	-1.6	#00BFC4
#F8766D	0.450292397660819	0.96875	improved	improved	-1.6	#F8766D
#00BFC4	0.403508771929825	0.96875	initial	initial	-1.4	#00BFC4
#F8766D	0.421052631578947	0.9375	improved	improved	-1.4	#F8766D
#00BFC4	0.385964912280702	0.96875	initial	initial	-1.2	#00BFC4
#F8766D	0.409356725146199	0.90625	improved	improved	-1.2	#F8766D
#00BFC4	0.362573099415205	0.96875	initial	initial	-1	#00BFC4
#F8766D	0.374269005847953	0.90625	improved	improved	-1	#F8766D
#00BFC4	0.345029239766082	0.96875	initial	initial	-0.799999999999999	#00BFC4
#F8766D	0.315789473684211	0.90625	improved	improved	-0.799999999999999	#F8766D
#00BFC4	0.257309941520468	0.96875	initial	initial	-0.6	#00BFC4
#F8766D	0.216374269005848	0.90625	improved	improved	-0.6	#F8766D
#00BFC4	0.239766081871345	0.96875	initial	initial	-0.399999999999999	#00BFC4
#F8766D	0.204678362573099	0.90625	improved	improved	-0.399999999999999	#F8766D
#00BFC4	0.198830409356725	0.96875	initial	initial	-0.199999999999999	#00BFC4
#F8766D	0.198830409356725	0.90625	improved	improved	-0.199999999999999	#F8766D
#00BFC4	0.152046783625731	0.96875	initial	initial	0	#00BFC4
#F8766D	0.175438596491228	0.90625	improved	improved	0	#F8766D
#00BFC4	0.146198830409357	0.8125	initial	initial	0.200000000000001	#00BFC4
#F8766D	0.152046783625731	0.84375	improved	improved	0.200000000000001	#F8766D
#00BFC4	0.12280701754386	0.6875	initial	initial	0.4	#00BFC4
#F8766D	0.134502923976608	0.8125	improved	improved	0.4	#F8766D
#00BFC4	0.111111111111111	0.625	initial	initial	0.600000000000001	#00BFC4
#F8766D	0.12280701754386	0.78125	improved	improved	0.600000000000001	#F8766D
#00BFC4	0.105263157894737	0.46875	initial	initial	0.800000000000001	#00BFC4
#F8766D	0.12280701754386	0.65625	improved	improved	0.800000000000001	#F8766D
#00BFC4	0.0994152046783626	0.34375	initial	initial	1	#00BFC4
#F8766D	0.0467836257309942	0.5625	improved	improved	1	#F8766D
#00BFC4	0.087719298245614	0.28125	initial	initial	1.2	#00BFC4
#F8766D	0.0350877192982456	0.4375	improved	improved	1.2	#F8766D
#00BFC4	0.0584795321637427	0.25	initial	initial	1.4	#00BFC4
#F8766D	0.0175438596491228	0.375	improved	improved	1.4	#F8766D
#00BFC4	0.0584795321637427	0.21875	initial	initial	1.6	#00BFC4
#F8766D	0.0175438596491228	0.28125	improved	improved	1.6	#F8766D
#00BFC4	0.0584795321637427	0.1875	initial	initial	1.8	#00BFC4
#F8766D	0.0175438596491228	0.21875	improved	improved	1.8	#F8766D
#00BFC4	0.0526315789473684	0.15625	initial	initial	2	#00BFC4
#F8766D	0.0116959064327485	0.15625	improved	improved	2	#F8766D
#00BFC4	0.0526315789473684	0.125	initial	initial	2.2	#00BFC4
#F8766D	0.0116959064327485	0.125	improved	improved	2.2	#F8766D
#00BFC4	0.0994152046783626	0.09375	initial	initial	2.4	#00BFC4
#F8766D	0.0526315789473684	0.125	improved	improved	2.4	#F8766D
#00BFC4	0.0584795321637427	0.0625	initial	initial	2.6	#00BFC4
#F8766D	0.0526315789473684	0.09375	improved	improved	2.6	#F8766D
#00BFC4	0.0584795321637427	0.03125	initial	initial	2.8	#00BFC4
#F8766D	0.0526315789473684	0.03125	improved	improved	2.8	#F8766D
#00BFC4	0.0584795321637427	0.03125	initial	initial	3	#00BFC4
#F8766D	0.0526315789473684	0.03125	improved	improved	3	#F8766D
#00BFC4	0.0584795321637427	0.03125	initial	initial	3.2	#00BFC4
#F8766D	0.0526315789473684	0.03125	improved	improved	3.2	#F8766D
#00BFC4	0.0584795321637427	0.03125	initial	initial	3.4	#00BFC4
#F8766D	0.0935672514619883	0.03125	improved	improved	3.4	#F8766D
#00BFC4	0.0116959064327485	0	initial	initial	3.6	#00BFC4
#F8766D	0.0467836257309942	0.03125	improved	improved	3.6	#F8766D
#00BFC4	0.00584795321637427	0	initial	initial	3.8	#00BFC4
#F8766D	0.0467836257309942	0.03125	improved	improved	3.8	#F8766D
