colour	x	y	key	showSelectedlegendcolour	showSelected2	fill
#F8766D	0.979289940828402	1	improved	improved	-3.2	#F8766D
#00BFC4	0.686390532544379	1	initial	initial	-3	#00BFC4
#F8766D	0.958579881656805	1	improved	improved	-3	#F8766D
#00BFC4	0.615384615384615	1	initial	initial	-2.8	#00BFC4
#F8766D	0.937869822485207	1	improved	improved	-2.8	#F8766D
#00BFC4	0.600591715976331	1	initial	initial	-2.6	#00BFC4
#F8766D	0.923076923076923	1	improved	improved	-2.6	#F8766D
#00BFC4	0.529585798816568	1	initial	initial	-2.4	#00BFC4
#F8766D	0.92603550295858	1	improved	improved	-2.4	#F8766D
#00BFC4	0.49112426035503	1	initial	initial	-2.2	#00BFC4
#F8766D	0.911242603550296	1	improved	improved	-2.2	#F8766D
#00BFC4	0.461538461538462	1	initial	initial	-2	#00BFC4
#F8766D	0.908284023668639	1	improved	improved	-2	#F8766D
#00BFC4	0.420118343195266	1	initial	initial	-1.8	#00BFC4
#F8766D	0.893491124260355	1	improved	improved	-1.8	#F8766D
#00BFC4	0.384615384615385	1	initial	initial	-1.6	#00BFC4
#F8766D	0.86094674556213	1	improved	improved	-1.6	#F8766D
#00BFC4	0.334319526627219	1	initial	initial	-1.4	#00BFC4
#F8766D	0.819526627218935	1	improved	improved	-1.4	#F8766D
#00BFC4	0.301775147928994	1	initial	initial	-1.2	#00BFC4
#F8766D	0.77810650887574	1	improved	improved	-1.2	#F8766D
#00BFC4	0.272189349112426	0.991869918699187	initial	initial	-1	#00BFC4
#F8766D	0.727810650887574	1	improved	improved	-1	#F8766D
#00BFC4	0.260355029585799	0.991869918699187	initial	initial	-0.799999999999999	#00BFC4
#F8766D	0.71301775147929	1	improved	improved	-0.799999999999999	#F8766D
#00BFC4	0.230769230769231	0.991869918699187	initial	initial	-0.6	#00BFC4
#F8766D	0.642011834319527	1	improved	improved	-0.6	#F8766D
#00BFC4	0.224852071005917	0.991869918699187	initial	initial	-0.399999999999999	#00BFC4
#F8766D	0.57396449704142	1	improved	improved	-0.399999999999999	#F8766D
#00BFC4	0.218934911242604	0.991869918699187	initial	initial	-0.199999999999999	#00BFC4
#F8766D	0.544378698224852	1	improved	improved	-0.199999999999999	#F8766D
#00BFC4	0.215976331360947	0.991869918699187	initial	initial	0	#00BFC4
#F8766D	0.497041420118343	1	improved	improved	0	#F8766D
#00BFC4	0.215976331360947	0.983739837398374	initial	initial	0.200000000000001	#00BFC4
#F8766D	0.455621301775148	1	improved	improved	0.200000000000001	#F8766D
#00BFC4	0.215976331360947	0.951219512195122	initial	initial	0.4	#00BFC4
#F8766D	0.423076923076923	1	improved	improved	0.4	#F8766D
#00BFC4	0.215976331360947	0.91869918699187	initial	initial	0.600000000000001	#00BFC4
#F8766D	0.387573964497041	1	improved	improved	0.600000000000001	#F8766D
#00BFC4	0.215976331360947	0.788617886178862	initial	initial	0.800000000000001	#00BFC4
#F8766D	0.36094674556213	1	improved	improved	0.800000000000001	#F8766D
#00BFC4	0.215976331360947	0.747967479674797	initial	initial	1	#00BFC4
#F8766D	0.322485207100592	1	improved	improved	1	#F8766D
#00BFC4	0.215976331360947	0.658536585365854	initial	initial	1.2	#00BFC4
#F8766D	0.304733727810651	1	improved	improved	1.2	#F8766D
#00BFC4	0.215976331360947	0.544715447154472	initial	initial	1.4	#00BFC4
#F8766D	0.28698224852071	1	improved	improved	1.4	#F8766D
#00BFC4	0.215976331360947	0.373983739837398	initial	initial	1.6	#00BFC4
#F8766D	0.275147928994083	1	improved	improved	1.6	#F8766D
#00BFC4	0.21301775147929	0.252032520325203	initial	initial	1.8	#00BFC4
#F8766D	0.257396449704142	1	improved	improved	1.8	#F8766D
#00BFC4	0.201183431952663	0.178861788617886	initial	initial	2	#00BFC4
#F8766D	0.242603550295858	1	improved	improved	2	#F8766D
#00BFC4	0.195266272189349	0.16260162601626	initial	initial	2.2	#00BFC4
#F8766D	0.227810650887574	1	improved	improved	2.2	#F8766D
#00BFC4	0.189349112426036	0.105691056910569	initial	initial	2.4	#00BFC4
#F8766D	0.215976331360947	1	improved	improved	2.4	#F8766D
#00BFC4	0.189349112426036	0.0894308943089431	initial	initial	2.6	#00BFC4
#F8766D	0.136094674556213	0.991869918699187	improved	improved	2.6	#F8766D
#00BFC4	0.189349112426036	0.0731707317073171	initial	initial	2.8	#00BFC4
#F8766D	0.106508875739645	0.991869918699187	improved	improved	2.8	#F8766D
#00BFC4	0.189349112426036	0.0731707317073171	initial	initial	3	#00BFC4
#F8766D	0.0236686390532544	0.91869918699187	improved	improved	3	#F8766D
#00BFC4	0.189349112426036	0.0650406504065041	initial	initial	3.2	#00BFC4
#F8766D	0.0177514792899408	0.878048780487805	improved	improved	3.2	#F8766D
#00BFC4	0.189349112426036	0.0487804878048781	initial	initial	3.4	#00BFC4
#F8766D	0.00887573964497041	0.739837398373984	improved	improved	3.4	#F8766D
#00BFC4	0.189349112426036	0.016260162601626	initial	initial	3.6	#00BFC4
#F8766D	0.00887573964497041	0.341463414634146	improved	improved	3.6	#F8766D
#00BFC4	0.189349112426036	0	initial	initial	3.8	#00BFC4
#F8766D	0.0029585798816568	0.300813008130081	improved	improved	3.8	#F8766D
#00BFC4	0.189349112426036	0	initial	initial	4	#00BFC4
#F8766D	0	0.252032520325203	improved	improved	4	#F8766D
#00BFC4	0.189349112426036	0	initial	initial	4.2	#00BFC4
#F8766D	0	0.235772357723577	improved	improved	4.2	#F8766D
#00BFC4	0.189349112426036	0	initial	initial	4.4	#00BFC4
#F8766D	0	0.219512195121951	improved	improved	4.4	#F8766D
#00BFC4	0.189349112426036	0	initial	initial	4.6	#00BFC4
#F8766D	0	0.16260162601626	improved	improved	4.6	#F8766D
#00BFC4	0.183431952662722	0	initial	initial	4.8	#00BFC4
#F8766D	0	0.130081300813008	improved	improved	4.8	#F8766D
#00BFC4	0.174556213017751	0	initial	initial	5	#00BFC4
#F8766D	0	0.0894308943089431	improved	improved	5	#F8766D
