colour	x	y	key	showSelectedlegendcolour	showSelected2	fill
#00BFC4	1	1	initial	initial	-10	#00BFC4
#F8766D	1	1	improved	improved	-10	#F8766D
#00BFC4	1	1	initial	initial	-9.8	#00BFC4
#F8766D	1	1	improved	improved	-9.8	#F8766D
#00BFC4	1	1	initial	initial	-9.6	#00BFC4
#F8766D	1	1	improved	improved	-9.6	#F8766D
#00BFC4	1	1	initial	initial	-9.4	#00BFC4
#F8766D	1	1	improved	improved	-9.4	#F8766D
#00BFC4	1	1	initial	initial	-9.2	#00BFC4
#F8766D	1	1	improved	improved	-9.2	#F8766D
#00BFC4	1	1	initial	initial	-9	#00BFC4
#F8766D	1	1	improved	improved	-9	#F8766D
#00BFC4	1	1	initial	initial	-8.8	#00BFC4
#F8766D	1	1	improved	improved	-8.8	#F8766D
#00BFC4	1	1	initial	initial	-8.6	#00BFC4
#F8766D	1	1	improved	improved	-8.6	#F8766D
#00BFC4	1	1	initial	initial	-8.4	#00BFC4
#F8766D	1	1	improved	improved	-8.4	#F8766D
#00BFC4	1	1	initial	initial	-8.2	#00BFC4
#F8766D	1	1	improved	improved	-8.2	#F8766D
#00BFC4	1	1	initial	initial	-8	#00BFC4
#F8766D	1	1	improved	improved	-8	#F8766D
#00BFC4	1	1	initial	initial	-7.8	#00BFC4
#F8766D	1	1	improved	improved	-7.8	#F8766D
#00BFC4	1	1	initial	initial	-7.6	#00BFC4
#F8766D	1	1	improved	improved	-7.6	#F8766D
#00BFC4	1	1	initial	initial	-7.4	#00BFC4
#F8766D	1	1	improved	improved	-7.4	#F8766D
#00BFC4	1	1	initial	initial	-7.2	#00BFC4
#F8766D	1	1	improved	improved	-7.2	#F8766D
#00BFC4	1	1	initial	initial	-7	#00BFC4
#F8766D	1	1	improved	improved	-7	#F8766D
#00BFC4	1	1	initial	initial	-6.8	#00BFC4
#F8766D	1	1	improved	improved	-6.8	#F8766D
#00BFC4	1	1	initial	initial	-6.6	#00BFC4
#F8766D	1	1	improved	improved	-6.6	#F8766D
#00BFC4	1	1	initial	initial	-6.4	#00BFC4
#F8766D	1	1	improved	improved	-6.4	#F8766D
#00BFC4	1	1	initial	initial	-6.2	#00BFC4
#F8766D	1	1	improved	improved	-6.2	#F8766D
#00BFC4	1	1	initial	initial	-6	#00BFC4
#F8766D	1	1	improved	improved	-6	#F8766D
#00BFC4	1	1	initial	initial	-5.8	#00BFC4
#F8766D	1	1	improved	improved	-5.8	#F8766D
#00BFC4	1	1	initial	initial	-5.6	#00BFC4
#F8766D	1	1	improved	improved	-5.6	#F8766D
#00BFC4	1	1	initial	initial	-5.4	#00BFC4
#F8766D	1	1	improved	improved	-5.4	#F8766D
#00BFC4	1	1	initial	initial	-5.2	#00BFC4
#F8766D	1	1	improved	improved	-5.2	#F8766D
#00BFC4	1	1	initial	initial	-5	#00BFC4
#F8766D	1	1	improved	improved	-5	#F8766D
#00BFC4	1	1	initial	initial	-4.8	#00BFC4
#F8766D	1	1	improved	improved	-4.8	#F8766D
#00BFC4	1	1	initial	initial	-4.6	#00BFC4
#F8766D	1	1	improved	improved	-4.6	#F8766D
#00BFC4	1	1	initial	initial	-4.4	#00BFC4
#F8766D	1	1	improved	improved	-4.4	#F8766D
#00BFC4	1	1	initial	initial	-4.2	#00BFC4
#F8766D	1	1	improved	improved	-4.2	#F8766D
#00BFC4	1	1	initial	initial	-4	#00BFC4
#F8766D	1	1	improved	improved	-4	#F8766D
#00BFC4	1	1	initial	initial	-3.8	#00BFC4
#F8766D	1	1	improved	improved	-3.8	#F8766D
#00BFC4	1	1	initial	initial	-3.6	#00BFC4
#F8766D	1	1	improved	improved	-3.6	#F8766D
#00BFC4	1	1	initial	initial	-3.4	#00BFC4
#F8766D	1	1	improved	improved	-3.4	#F8766D
#00BFC4	1	1	initial	initial	-3.2	#00BFC4
#F8766D	1	1	improved	improved	-3.2	#F8766D
#00BFC4	1	1	initial	initial	-3	#00BFC4
#F8766D	1	1	improved	improved	-3	#F8766D
#00BFC4	0.961538461538461	1	initial	initial	-2.8	#00BFC4
#F8766D	1	1	improved	improved	-2.8	#F8766D
#00BFC4	0.942307692307692	1	initial	initial	-2.6	#00BFC4
#F8766D	1	1	improved	improved	-2.6	#F8766D
#00BFC4	0.942307692307692	1	initial	initial	-2.4	#00BFC4
#F8766D	1	1	improved	improved	-2.4	#F8766D
#00BFC4	0.942307692307692	1	initial	initial	-2.2	#00BFC4
#F8766D	1	1	improved	improved	-2.2	#F8766D
#00BFC4	0.903846153846154	1	initial	initial	-2	#00BFC4
#F8766D	1	1	improved	improved	-2	#F8766D
#00BFC4	0.884615384615385	1	initial	initial	-1.8	#00BFC4
#F8766D	1	1	improved	improved	-1.8	#F8766D
#00BFC4	0.846153846153846	1	initial	initial	-1.6	#00BFC4
#F8766D	1	1	improved	improved	-1.6	#F8766D
#00BFC4	0.826923076923077	1	initial	initial	-1.4	#00BFC4
#F8766D	1	1	improved	improved	-1.4	#F8766D
#00BFC4	0.730769230769231	1	initial	initial	-1.2	#00BFC4
#F8766D	1	1	improved	improved	-1.2	#F8766D
#00BFC4	0.692307692307692	0.923076923076923	initial	initial	-1	#00BFC4
#F8766D	1	1	improved	improved	-1	#F8766D
#00BFC4	0.653846153846154	0.923076923076923	initial	initial	-0.799999999999999	#00BFC4
#F8766D	1	1	improved	improved	-0.799999999999999	#F8766D
#00BFC4	0.634615384615385	0.923076923076923	initial	initial	-0.6	#00BFC4
#F8766D	1	1	improved	improved	-0.6	#F8766D
#00BFC4	0.634615384615385	0.923076923076923	initial	initial	-0.399999999999999	#00BFC4
#F8766D	1	1	improved	improved	-0.399999999999999	#F8766D
#00BFC4	0.596153846153846	1	initial	initial	-0.199999999999999	#00BFC4
#F8766D	1	1	improved	improved	-0.199999999999999	#F8766D
#00BFC4	0.576923076923077	1	initial	initial	0	#00BFC4
#F8766D	1	1	improved	improved	0	#F8766D
#00BFC4	0.576923076923077	0.923076923076923	initial	initial	0.200000000000001	#00BFC4
#F8766D	1	1	improved	improved	0.200000000000001	#F8766D
#00BFC4	0.576923076923077	0.769230769230769	initial	initial	0.4	#00BFC4
#F8766D	1	1	improved	improved	0.4	#F8766D
#00BFC4	0.576923076923077	0.769230769230769	initial	initial	0.600000000000001	#00BFC4
#F8766D	1	1	improved	improved	0.600000000000001	#F8766D
#00BFC4	0.576923076923077	0.692307692307692	initial	initial	0.800000000000001	#00BFC4
#F8766D	1	1	improved	improved	0.800000000000001	#F8766D
#00BFC4	0.576923076923077	0.615384615384615	initial	initial	1	#00BFC4
#F8766D	0.961538461538461	1	improved	improved	1	#F8766D
#00BFC4	0.576923076923077	0.461538461538462	initial	initial	1.2	#00BFC4
#F8766D	0.903846153846154	1	improved	improved	1.2	#F8766D
#00BFC4	0.557692307692308	0.0769230769230769	initial	initial	1.4	#00BFC4
#F8766D	0.884615384615385	1	improved	improved	1.4	#F8766D
#00BFC4	0.557692307692308	0	initial	initial	1.6	#00BFC4
#F8766D	0.865384615384615	1	improved	improved	1.6	#F8766D
#00BFC4	0.557692307692308	0	initial	initial	1.8	#00BFC4
#F8766D	0.865384615384615	1	improved	improved	1.8	#F8766D
#00BFC4	0.557692307692308	0	initial	initial	2	#00BFC4
#F8766D	0.865384615384615	0.923076923076923	improved	improved	2	#F8766D
#00BFC4	0.557692307692308	0	initial	initial	2.2	#00BFC4
#F8766D	0.826923076923077	0.923076923076923	improved	improved	2.2	#F8766D
#00BFC4	0.557692307692308	0	initial	initial	2.4	#00BFC4
#F8766D	0.788461538461538	0.923076923076923	improved	improved	2.4	#F8766D
#00BFC4	0.557692307692308	0	initial	initial	2.6	#00BFC4
#F8766D	0.769230769230769	0.923076923076923	improved	improved	2.6	#F8766D
#00BFC4	0.576923076923077	0	initial	initial	2.8	#00BFC4
#F8766D	0.730769230769231	0.923076923076923	improved	improved	2.8	#F8766D
#00BFC4	0.576923076923077	0	initial	initial	3	#00BFC4
#F8766D	0.673076923076923	0.923076923076923	improved	improved	3	#F8766D
#00BFC4	0.576923076923077	0	initial	initial	3.2	#00BFC4
#F8766D	0.653846153846154	0.923076923076923	improved	improved	3.2	#F8766D
#00BFC4	0.576923076923077	0	initial	initial	3.4	#00BFC4
#F8766D	0.653846153846154	0.923076923076923	improved	improved	3.4	#F8766D
#00BFC4	0.557692307692308	0	initial	initial	3.6	#00BFC4
#F8766D	0.634615384615385	0.769230769230769	improved	improved	3.6	#F8766D
#00BFC4	0.557692307692308	0	initial	initial	3.8	#00BFC4
#F8766D	0.615384615384615	0.692307692307692	improved	improved	3.8	#F8766D
#00BFC4	0.557692307692308	0	initial	initial	4	#00BFC4
#F8766D	0.596153846153846	0.692307692307692	improved	improved	4	#F8766D
#00BFC4	0.557692307692308	0	initial	initial	4.2	#00BFC4
#F8766D	0.576923076923077	0.692307692307692	improved	improved	4.2	#F8766D
#00BFC4	0.519230769230769	0	initial	initial	4.4	#00BFC4
#F8766D	0.576923076923077	0.692307692307692	improved	improved	4.4	#F8766D
#00BFC4	0.519230769230769	0	initial	initial	4.6	#00BFC4
#F8766D	0.576923076923077	0.769230769230769	improved	improved	4.6	#F8766D
#00BFC4	0.519230769230769	0	initial	initial	4.8	#00BFC4
#F8766D	0.480769230769231	0.769230769230769	improved	improved	4.8	#F8766D
#00BFC4	0.519230769230769	0	initial	initial	5	#00BFC4
